tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_te
apartamento,1250000000,245.0,3,2,3,las lomas no.2,6.208884885,-75.556009689,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-las-lomas-no.-2-3-habitaciones-2-banos-3-garajes/11976-M6259443,8,30.625,81.66666666666667,60025.0,9,1,7040096.116872709,162809446.25407165,636719745.22293,47.17181519751421,3.9108280254777075,90.44191082802547,23.12602605863192,20.990641637643883
apartamento,1470000000,121.0,3,3,2,altos del poblado,6.21711969,-75.55599864,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-altos-del-poblado-3-habitaciones-3-banos-2-garajes/11976-M5955477,8,15.125,40.333333333333336,14641.0,4,1,8653962.51464445,175092749.76961708,706133545.2734177,57.985447029430716,4.0329113924050635,81.59655696202532,20.23266792215945,20.991095029848776
apartamento,2500000000,277.0,3,4,4,los balsos no.2,6.195743083953857,-75.56614685058594,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.2-3-habitaciones-4-banos-4-garajes/687-M5008488,11,25.181818181818183,92.33333333333333,76729.0,16,1,7313540.765550054,157184938.92275575,643517826.8717948,49.004017516917585,4.094017094017094,87.98991452991451,21.49231732776618,20.954371555726844
apartamento,2550000000,260.0,3,3,3,laureles,6.2465069523,-75.5982251668,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-3-habitaciones-3-banos-3-garajes/16507-M6359220,9,28.88888888888889,86.66666666666667,67600.0,9,1,6460195.111687219,127370563.38028169,634618245.6140351,43.286217246102424,4.982456140350878,98.23515151515151,19.716209987195903,20.668615533018688
apartamento,690000000,226.0,4,4,2,los naranjos,6.198076248168945,-75.55879211425781,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-naranjos-4-habitaciones-4-banos-2-garajes/687-M2126712,10,22.6,56.5,51076.0,4,1,7138176.074295598,165344669.11764705,673259730.5389222,47.82899509240857,4.07185628742515,94.31817365269463,23.163433823529413,20.949477614086128
apartamento,850000000,158.0,4,3,2,simon bolivar,6.24415358,-75.60471325,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-simon-bolivar-4-habitaciones-3-banos-2-garajes/21163-M6064055,9,17.555555555555557,39.5,24964.0,4,1,5283695.533931524,120135638.29787233,836500000.0,35.40314012037451,6.962962962962964,158.3172222222222,22.737047872340423,20.51174187391021
apartamento,2600000000,300.0,3,4,3,el tesoro,6.203347682952881,-75.55573272705078,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5453463,10,30.0,100.0,90000.0,9,1,7388640.035243283,181116061.45251396,714091960.352423,49.50721645236209,3.94273127753304,96.64727973568282,24.51277374301676,21.10447414707314
apartamento,1295000000,157.0,3,2,2,castropol,6.2225608194,-75.5680800951,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-poblado-castropol-3-habitaciones-2-banos-2-garajes/19795-M6065431,7,22.428571428571427,52.333333333333336,24649.0,4,1,7631639.408896536,129979296.83372922,582141318.7978723,51.13542171501621,4.478723404255319,76.27998226950355,17.031634996041173,20.62591919209418
apartamento,2650000000,210.0,3,4,2,los balsos no.1,6.18696403503418,-75.5599594116211,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5058525,9,23.333333333333332,70.0,44100.0,4,1,7358340.838913989,172961071.53917623,663291330.1662707,49.30419818866918,3.8349168646080756,90.14142517814726,23.50544441003407,21.050052370150777
apartamento,1420000000,223.5,4,4,3,alejandria,6.199643339,-75.571110059,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-alejandria-4-habitaciones-4-banos-3-garajes/11976-M6271358,11,20.318181818181817,55.875,49952.25,9,1,7061101.707880057,152463909.7744361,602307920.7920792,47.31256211924138,3.9504950495049505,85.29942574257426,21.59208521303258,20.88207628452947
