tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_count,barrio_te
apartamento,12000000,350.0,3,5,3,Las Lomas No.2,6.208396911621094,-75.55814361572266,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-5-banos-3-garajes/16549-M6479901,11,31.818181818181817,116.66666666666667,122500.0,9,1,47091.882247992864,965082.2669104205,4124218.75,67.27411749713266,4.2734375,87.578125,20.493601462522854,78,
apartamento,10500000,170.0,3,5,2,Los Balsos No.1,6.18837833404541,-75.566162109375,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no1-3-habitaciones-5-banos-2-garajes/16981-M6465956,10,17.0,56.666666666666664,28900.0,4,1,52037.343937504564,1051901.7165937396,4139337.7483443706,74.33906276786367,3.9350993377483436,79.54552317880795,20.214362167620333,391,
apartamento,7400000,140.0,3,4,2,Villa Carlota,6.22072838,-75.5745836,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-3-habitaciones-4-banos-2-garajes/17021-M6256387,9,15.555555555555555,46.666666666666664,19600.0,4,1,55077.373494113235,766566.5722379603,3656729.7297297297,78.68196213444747,4.77027027027027,66.39259459459458,13.91799433427762,296,
apartamento,6800000,150.0,3,2,2,Las Lomas No.1,6.20898,-75.55984,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-lomas-1-3-habitaciones-2-banos-2-garajes/16120-M5999830,7,21.428571428571427,50.0,22500.0,4,1,45001.69824595454,959857.6972833117,3989086.0215053763,64.28814035136364,4.155913978494624,88.64301075268817,21.329366106080204,105,
apartamento,18000000,274.7,3,4,3,Santa María de Los Ángeles,6.188174,-75.579877,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-3-garajes/847-M6289607,10,27.47,91.56666666666666,75460.09,9,1,50371.8176973218,855814.6766169154,3759972.6775956284,71.95973956760258,4.39344262295082,74.64437158469946,16.98995024875622,235,
apartamento,9500000,180.0,2,4,2,El Castillo,6.192415,-75.571747,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-4-banos-2-garajes/14894-M6385119,8,22.5,90.0,32400.0,4,1,55346.074557636144,1011521.1930926216,4078094.9367088606,79.06582079662307,4.031645569620253,73.68354430379746,18.27629513343799,89,
apartamento,14650000,365.0,4,4,3,El Danubio,6.2515025,-75.6073741,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-4-habitaciones-4-banos-3-garajes/98-M5941801,11,33.18181818181818,91.25,133225.0,9,1,36355.93220338983,975000.0,4290000.0,51.937046004842614,4.4,118.00000000000001,26.81818181818182,3,
apartamento,7000000,150.0,3,3,2,La Florida,6.20216,-75.56517,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/16120-M6483665,8,18.75,50.0,22500.0,4,1,48641.34779170759,975568.57573474,4090298.5781990523,69.48763970243941,4.192733017377567,84.0909794628752,20.05636397889977,350,
apartamento,4000000,75.0,3,2,1,Las Lomas No.2,6.2131524749,-75.5578357696,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-diego-3-habitaciones-2-banos-1-garajes/18714-M6384616,6,12.5,25.0,5625.0,1,1,47091.882247992864,965082.2669104205,4124218.75,67.27411749713266,4.2734375,87.578125,20.493601462522854,78,
apartamento,6500000,125.0,3,3,2,Las Lomas No.1,6.2116456,-75.56018,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-lomas-no.-1-3-habitaciones-3-banos-2-garajes/MC6463394,8,15.625,41.666666666666664,15625.0,4,1,45001.69824595454,959857.6972833117,3989086.0215053763,64.28814035136364,4.155913978494624,88.64301075268817,21.329366106080204,105,
