barrio,barrio_1,precio,area,habitaciones,baños,parqueaderos,tipo,latitud,longitud,url
El Poblado,VILLA CARLOTA,7400000,140.0,3,4,2,Apartamento,6.22072838,-75.5745836,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-3-habitaciones-4-banos-2-garajes/17021-M6256342
El Tesoro,EL TESORO,12422504,293.0,3,4,2,Casa,6.199116,-75.557406,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/2671-M6315167
Provenza,PROVENZA,9000000,140.0,2,2,2,Apartamento,6.202312,-75.562308,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-provenza-2-habitaciones-2-banos-2-garajes/847-M4914885
Las Lomas No 2,LAS LOMAS NO 2,11000000,150.0,3,4,2,Apartamento,6.211902,-75.55745,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-lomas-no.2-3-habitaciones-4-banos-2-garajes/847-M5829918
Los Balsos No 1,LOS BALSOS NO 1,5800000,67.0,1,2,1,Apartamento,6.192943,-75.563137,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/847-M5858812
Poblado,POBLADO,7400000,120.0,4,3,1,Apartamento,6.2063941,-75.5716829,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-4-habitaciones-3-banos-1-garajes/18714-M6473154
La Calera,LA CALERA,18500000,276.0,3,4,3,Apartamento,6.20238,-75.55301,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-calera-3-habitaciones-4-banos-3-garajes/16120-M5627886
El Tesoro,EL TESORO,7500000,152.0,3,3,2,Apartamento,6.203782,-75.560025,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/847-M5838520
SANTA ELENA   Nororiente,LAS MERCEDES,4300000,2000.0,3,2,2,Casa,6.2353616,-75.609795,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-mercedes-3-habitaciones-2-banos-2-garajes/MC6406434
LA AMERICA   Noroccidente,LA AMERICA,3300000,80.0,3,2,1,Apartamento,6.251097,-75.60551,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-america-3-habitaciones-2-banos-1-garajes/MC6358033
