barrio,barrio_1,precio,area,habitaciones,baños,parqueaderos,tipo,latitud,longitud,url
Castropol,CASTROPOL,650000000,80.0,3,2,1,Apartamento,6.2011742,-75.5731636,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-castropol-3-habitaciones-2-banos-1-garajes/22123-M6476855
BELEN,LOMA DE LOS BERNAL,695000000,87.0,2,2,2,Apartamento,6.220445156097412,-75.60543060302734,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-loma-de-los-bernal-2-habitaciones-2-banos-2-garajes/12116-M5722110
San Lucas,SAN LUCAS,1650000000,160.0,2,4,2,Apartamento,6.177372604,-75.566088044,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-2-habitaciones-4-banos-2-garajes/11976-M6120869
EL POBLADO,LOS BALSOS NO 2,1520000000,250.0,3,5,4,Casa,6.195840358734131,-75.57015991210938,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-los-balsos-no.2-3-habitaciones-5-banos-4-garajes/687-M5136223
Poblado El Campestre,EL DIAMANTE NO  2,990000000,140.0,3,4,2,Apartamento,6.18823762,-75.57630213,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-diamante-no.-2-3-habitaciones-4-banos-2-garajes/20852-M6099874
La Calera,EL TESORO,4200000000,800.0,4,5,4,Casa,6.200670602,-75.551458812,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-4-habitaciones-5-banos-4-garajes/11976-M6175913
EL POBLADO,LOS BALSOS NO 1,1640000000,215.0,3,4,2,Apartamento,6.188079833984375,-75.55982208251953,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4269040
EL POBLADO,SAN LUCAS,1100000000,210.0,3,3,3,Apartamento,6.177539825439453,-75.5631103515625,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-3-banos-3-garajes/687-M2094647
Poblado Sector La Concha,LAS LOMAS NO  2,1250000000,245.0,3,2,3,Apartamento,6.208884885,-75.556009689,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-las-lomas-no.-2-3-habitaciones-2-banos-3-garajes/11976-M6259443
EL POBLADO,LOS BALSOS NO 1,5390000000,490.0,4,5,4,Apartamento,6.186915874481201,-75.55917358398438,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M4499570
Altos Del Poblado,ALTOS DEL POBLADO,1470000000,121.0,3,3,2,Apartamento,6.21711969,-75.55599864,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-altos-del-poblado-3-habitaciones-3-banos-2-garajes/11976-M5955477
EL POBLADO,LOS BALSOS NO 2,2500000000,277.0,3,4,4,Apartamento,6.195743083953857,-75.56614685058594,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.2-3-habitaciones-4-banos-4-garajes/687-M5008488
El Poblado,EL POBLADO,2550000000,260.0,3,3,3,Apartamento,6.2465069523,-75.5982251668,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-3-habitaciones-3-banos-3-garajes/16507-M6359220
EL POBLADO,LOS NARANJOS,690000000,226.0,4,4,2,Apartamento,6.198076248168945,-75.55879211425781,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-naranjos-4-habitaciones-4-banos-2-garajes/687-M2126712
EL POBLADO,EL TESORO,2350000000,535.0,3,5,4,Casa,6.205249786376953,-75.55294036865234,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-3-habitaciones-5-banos-4-garajes/687-M3347958
Medellin Occidente,SIMON BOLIVAR,850000000,158.0,4,3,2,Apartamento,6.24415358,-75.60471325,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-simon-bolivar-4-habitaciones-3-banos-2-garajes/21163-M6064055
EL POBLADO,EL TESORO,2600000000,300.0,3,4,3,Apartamento,6.203347682952881,-75.55573272705078,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5453463
Poblado Castropol,POBLADO CASTROPOL,1295000000,157.0,3,2,2,Apartamento,6.2225608194,-75.5680800951,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-poblado-castropol-3-habitaciones-2-banos-2-garajes/19795-M6065431
EL POBLADO,LOS BALSOS NO 1,2650000000,210.0,3,4,2,Apartamento,6.18696403503418,-75.5599594116211,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5058525
Poblado Milla De Oro,ALEJANDRIA,1420000000,223.5,4,4,3,Apartamento,6.199643339,-75.571110059,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-alejandria-4-habitaciones-4-banos-3-garajes/11976-M6271358
EL POBLADO CASTROPOL,CASTROPOL,1300000000,150.0,3,3,2,Apartamento,6.216140270233154,-75.56697082519531,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-castropol-3-habitaciones-3-banos-2-garajes/21390-M6386078
La Tomatera,LA TOMATERA,1600000000,299.0,3,3,2,Casa,6.202182,-75.566565,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-tomatera-3-habitaciones-3-banos-2-garajes/13439-M6384913
El Poblado  Castropol,LA LINDE,3100000000,400.0,4,5,2,Apartamento,6.21464541,-75.56433928,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-linde-4-habitaciones-5-banos-2-garajes/12475-M4780751
El Poblado  Cola Del Zorro  Las Palmas,ALTOS DEL POBLADO,3900000000,675.02,5,5,4,Casa,6.20827305,-75.55018056,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-altos-del-poblado-5-habitaciones-5-banos-4-garajes/12475-M4124643
BELEN DE LA MOTA,LA MOTA,850000000,150.0,3,4,1,Casa,6.208929538726807,-75.59899139404297,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-mota-3-habitaciones-4-banos-1-garajes/19097-M5608003
El Poblado,EL POBLADO,1650000000,310.0,3,3,2,Apartamento,6.2152046487,-75.5616343394,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/14778-M5348078
Velodromo,VELODROMO,670000000,104.0,3,2,1,Apartamento,-0.0058837438,0.0030839273,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-velodromo-3-habitaciones-2-banos-1-garajes/19328-M6353647
LOS BALSOS,LOS BALSOS NO1,1800000000,210.0,3,4,2,Apartamento,6.1911420822143555,-75.55972290039062,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no1-3-habitaciones-4-banos-2-garajes/14633-M6469203
El Poblado,EL POBLADO,1320000000,245.0,4,5,3,Casa,6.1967716,-75.5678562,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-poblado-4-habitaciones-5-banos-3-garajes/10159-M6158264
Castropol,CASTROPOL,1555000000,224.0,3,4,3,Apartamento,6.2136106963,-75.568103157,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-castropol-3-habitaciones-4-banos-3-garajes/10159-M6477098
San Lucas,SAN LUCAS,950000000,223.0,4,4,2,Apartamento,0.0,0.0,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-4-habitaciones-4-banos-2-garajes/19328-M6353677
El Poblado,EL POBLADO,8500000000,872.67,5,5,3,Apartamento,6.183734,-75.569715,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-5-habitaciones-5-banos-3-garajes/2671-M5812131
EL POBLADO PROVENZA,LA FLORIDA,1350000000,134.7,2,3,2,Apartamento,6.2024970054626465,-75.56241607666016,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-2-habitaciones-3-banos-2-garajes/597-M6292030
