barrio,precio,area,habitaciones,baños,parqueaderos,telefono,url,tipo,latitud,longitud,barrio_1
el poblado,4700000,110.0,3,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-2-banos-1-garajes/687-M5398513,Apartamento,6.204973220825195,-75.5646743774414,la florida
el poblado,3600000,70.0,3,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-diego-3-habitaciones-2-banos-1-garajes/687-M4749062,Apartamento,6.232077598571777,-75.56768798828125,san diego
belen,2850000,72.0,2,2,0,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-belen-2-habitaciones-2-banos/12116-M5388092,Apartamento,6.235101699829102,-75.59541320800781,belen
el poblado,7200000,110.0,3,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-2-banos-1-garajes/687-M5398491,Apartamento,6.204973220825195,-75.5646743774414,la florida
el poblado,6200000,108.0,2,3,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-1-garajes/687-M5829860,Apartamento,6.21470832824707,-75.55520629882812,altos del poblado
la candelaria,13000000,340.0,4,4,1,6044449898,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-carlos-e-restrepo-4-habitaciones-4-banos-1-garajes/4673-M4737634,Casa,6.256083,-75.579554,carlos e restrepo
los balsos,5300000,107.0,3,2,2,6044449898,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-2-banos-2-garajes/4673-M6074600,Apartamento,6.18781283,-75.56149319,los balsos no 1
patio bonito,23200000,475.0,5,5,2,6044449898,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-patio-bonito-5-habitaciones-5-banos-2-garajes/4673-M5671879,Casa,6.206061,-75.575702,patio bonito
san lucas,9500000,215.0,2,2,0,6044440048,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos/2214-M6077920,Apartamento,6.183785,-75.561245,san lucas
poblado,14500000,500.0,3,3,2,6043229898,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-libertad-3-habitaciones-3-banos-2-garajes/5606-M5415368,Casa,6.24167,-75.54351,la libertad
santa maria de los angeles,7200000,146.0,3,3,0,3008828292,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-3-banos/2214-M6078140,Apartamento,6.18773987,-75.57926719,santa maria de los angeles
belen los almendros,4500000,180.0,5,3,0,3245516105,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-belen-los-almendros-5-habitaciones-3-banos/403-M6046395,Apartamento,6.2368617,-75.596124,belen los almendros
la frontera,5200000,120.0,3,3,2,3044897448,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-3-banos-2-garajes/233-M6077274,Apartamento,6.1859025955200195,-75.57981872558594,santa maria de los angeles
laureles,4700000,65.0,2,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-conquistadores-2-habitaciones-2-banos-1-garajes/12116-M6058705,Apartamento,6.242354869842529,-75.5815200805664,los conquistadores
el poblado,7600000,70.0,2,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-2-banos-1-garajes/687-M4692029,Apartamento,6.213791370391846,-75.55433654785156,altos del poblado
el poblado,4600000,110.0,3,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-2-banos-1-garajes/687-M5453779,Apartamento,6.2045087814331055,-75.56468200683594,la florida
el poblado,7300000,258.0,3,4,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5042104,Apartamento,6.18696403503418,-75.5599594116211,los balsos no 1
belen,2700000,52.0,3,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/12116-M4845581,Apartamento,6.217579364776611,-75.60416412353516,loma de los bernal
el poblado,3550000,65.0,2,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-2-habitaciones-2-banos-1-garajes/687-M5143440,Apartamento,6.1889872550964355,-75.5788803100586,santa maria de los angeles
el poblado,3800000,70.0,2,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-2-banos-1-garajes/687-M5271348,Apartamento,6.202657699584961,-75.55547332763672,el tesoro
el poblado,7600000,148.0,3,2,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-3-habitaciones-2-banos-1-garajes/687-M4701953,Apartamento,6.216899871826172,-75.55632781982422,altos del poblado
laureles,4600000,140.0,3,3,1,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-3-banos-1-garajes/687-M4724555,Apartamento,6.266218185424805,-75.59402465820312,los colores
